"Date,stock%"
"41962,0"
"41992,0"
"41652,0"
"42055,0"
"42093,0"
"42128,0"
"42130,0"
"42164,0"
"42202,0"
"42221,0"
"42236,0"
"42276,0"
"42311,0"
"42327,0"
"42378,0"
"42403,0"
"42410,0"
"42460,0"
"42471,0"
"42494,0"
"42508,0"
"42551,0"
"42583,0"
"42585,0"
"42632,0"
"42669,0"
"42682,0"
"42691,0"
"42721,0"
"42754,0"
"42788,0"
"42836,0"
"42858,0"
"42900,75"
"42919,0"
"42923,0"
"42949,6.51"
"42978,0"
"43000,0"
"43040,-7"
"43047,0"
"43055,0"
"43056,0"
"43081,0"
"43129,0"
"43138,0"
"43139,9"
"43176,-8"
"43191,-8"
"43206,0"
"43221,0"
"43222,-5"
"43271,0"
"43313,16"
"43319,6"
"43350,-6"
"43355,-6"
"43397,9"
"43399,5"
"43411,-1.4"
"43462,0"
"43483,0"
"43495,4"
"43539,0"
"43542,0"
"43579,-4"
"43588,0"
"43601,0"
"43633,0"
"43671,-13"
"43705,0"
"43734,0"
"43762,17"
"43763,9"
"43781,0"
"43790,0"
"43829,0"
"43843,0"
"43859,0"
"43860,10"
"43861,0"
"43864,19.89"
"43880,10"
"43888,-13"
"43892,0"
"43899,-14"
"43902,-12"
"43909,19"
"43934,14"
"43950,0"
"43952,-10"
"43960,0"
"43983,8"
"44012,7"
"44017,0"
"44032,23"
"44034,-5"
"44060,11.2"
"44074,13"
"44082,-21"
"44084,11"
"44109,0"
"44124,-2"
"44125,0.75"
"44141,-8"
"44151,21"
"44159,0"
"44173,-1.33"
"44916,6"
"44198,0"
"44202,36"
"44223,-2.83"
"44235,1.3"
"44249,-8.55"
"44265,20"
"44277,2.31"
"44279,-3"
"44281,-3.39"
"44291,4.43"
"44293,-5"
"44299,9"
"44306,-3.4"
"44313,-5"
"44321,-5"
"44328,0"
"44333,-13"
"44343,7"
"44348,-3"
"44350,-5"
"44362,5"
"44375,2"
